code,isolate,temp_C,replicate,axis,hpi,col_diam_mm,col_diam_mm_corr,region
IN12-8-3.10.1.2,IN12-8-3,10,1,2,48,8.19,2.19,north
IN12-9-6.10.1.1,IN12-9-6,10,1,1,48,7.51,1.51,north
IN12-9-6.10.1.2,IN12-9-6,10,1,2,48,7.18,1.18,north
MP249.10.1.1,MP249,10,1,1,48,7.92,1.92,south
MP249.10.1.2,MP249,10,1,2,48,7.85,1.85,south
TN270.10.1.1,TN270,10,1,1,48,6.7,0.7,south
TN270.10.1.2,TN270,10,1,2,48,6.75,0.75,south
TN280.10.1.1,TN280,10,1,1,48,8.68,2.68,south
TN280.10.1.2,TN280,10,1,2,48,8.79,2.79,south
TN550.10.1.1,TN550,10,1,1,48,7.29,1.29,south
TN550.10.1.2,TN550,10,1,2,48,7.29,1.29,south
W12-6.10.1.1,W12-6,10,1,1,48,6.6,0.6,north
W12-6.10.1.2,W12-6,10,1,2,48,6.62,0.62,north
Dm13.10.2.1,Dm13,10,2,1,48,7.6,1.6,north
Dm13.10.2.2,Dm13,10,2,2,48,7.03,1.03,north
IN12-8-3.10.2.1,IN12-8-3,10,2,1,48,8.04,2.04,north
IN12-8-3.10.2.2,IN12-8-3,10,2,2,48,7.82,1.82,north
IN12-9-6.10.2.1,IN12-9-6,10,2,1,48,7.04,1.04,north
IN12-9-6.10.2.2,IN12-9-6,10,2,2,48,7.33,1.33,north
MP249.10.2.1,MP249,10,2,1,48,6.79,0.79,south
MP249.10.2.2,MP249,10,2,2,48,7.22,1.22,south
TN270.10.2.1,TN270,10,2,1,48,7.16,1.16,south
TN270.10.2.2,TN270,10,2,2,48,7.17,1.17,south
TN280.10.2.1,TN280,10,2,1,48,8.2,2.2,south
TN280.10.2.2,TN280,10,2,2,48,7.64,1.64,south
TN550.10.2.1,TN550,10,2,1,48,7.63,1.63,south
TN550.10.2.2,TN550,10,2,2,48,8.07,2.07,south
W12-6.10.2.1,W12-6,10,2,1,48,6.82,0.82,north
W12-6.10.2.2,W12-6,10,2,2,48,6.79,0.79,north
Dm13.10.3.1,Dm13,10,3,1,48,6.2,0.2,north
Dm13.10.3.2,Dm13,10,3,2,48,6.2,0.2,north
IN12-8-3.10.3.1,IN12-8-3,10,3,1,48,7.27,1.27,north
IN12-8-3.10.3.2,IN12-8-3,10,3,2,48,7.25,1.25,north
IN12-9-6.10.3.1,IN12-9-6,10,3,1,48,7.49,1.49,north
IN12-9-6.10.3.2,IN12-9-6,10,3,2,48,7.44,1.44,north
MP249.10.3.1,MP249,10,3,1,48,7.73,1.73,south
MP249.10.3.2,MP249,10,3,2,48,7.64,1.64,south
TN270.10.3.1,TN270,10,3,1,48,6.86,0.86,south
TN270.10.3.2,TN270,10,3,2,48,6.86,0.86,south
TN280.10.3.1,TN280,10,3,1,48,7.38,1.38,south
TN280.10.3.2,TN280,10,3,2,48,7.29,1.29,south
TN550.10.3.1,TN550,10,3,1,48,7.78,1.78,south
TN550.10.3.2,TN550,10,3,2,48,7.9,1.9,south
W12-6.10.3.1,W12-6,10,3,1,48,6.06,0.06,north
W12-6.10.3.2,W12-6,10,3,2,48,6.06,0.06,north
Dm13.30.1.1,Dm13,30,1,1,48,84,78,north
Dm13.30.1.2,Dm13,30,1,2,48,84,78,north
IN12-8-3.30.1.1,IN12-8-3,30,1,1,48,84,78,north
IN12-8-3.30.1.2,IN12-8-3,30,1,2,48,84,78,north
IN12-9-6.30.1.1,IN12-9-6,30,1,1,48,83.78,77.78,north
IN12-9-6.30.1.2,IN12-9-6,30,1,2,48,83.73,77.73,north
MP249.30.1.1,MP249,30,1,1,48,82.76,76.76,south
MP249.30.1.2,MP249,30,1,2,48,82.6,76.6,south
TN270.30.1.1,TN270,30,1,1,48,84,78,south
TN270.30.1.2,TN270,30,1,2,48,84,78,south
TN280.30.1.1,TN280,30,1,1,48,84,78,south
TN280.30.1.2,TN280,30,1,2,48,84,78,south
TN550.30.1.1,TN550,30,1,1,48,84,78,south
TN550.30.1.2,TN550,30,1,2,48,84,78,south
W12-6.30.1.1,W12-6,30,1,1,48,79.43,73.43,north
W12-6.30.1.2,W12-6,30,1,2,48,79.66,73.66,north
Dm13.30.2.1,Dm13,30,2,1,48,84,78,north
Dm13.30.2.2,Dm13,30,2,2,48,84,78,north
IN12-8-3.30.2.1,IN12-8-3,30,2,1,48,83.69,77.69,north
IN12-8-3.30.2.2,IN12-8-3,30,2,2,48,83.62,77.62,north
IN12-9-6.30.2.1,IN12-9-6,30,2,1,48,84,78,north
IN12-9-6.30.2.2,IN12-9-6,30,2,2,48,84,78,north
MP249.30.2.1,MP249,30,2,1,48,83,77,south
MP249.30.2.2,MP249,30,2,2,48,82.88,76.88,south
TN270.30.2.1,TN270,30,2,1,48,84,78,south
TN270.30.2.2,TN270,30,2,2,48,84,78,south
TN280.30.2.1,TN280,30,2,1,48,84,78,south
TN280.30.2.2,TN280,30,2,2,48,84,78,south
TN550.30.2.1,TN550,30,2,1,48,83.21,77.21,south
TN550.30.2.2,TN550,30,2,2,48,82.81,76.81,south
W12-6.30.2.1,W12-6,30,2,1,48,81.87,75.87,north
W12-6.30.2.2,W12-6,30,2,2,48,81.23,75.23,north
Dm13.30.3.1,Dm13,30,3,1,48,84,78,north
Dm13.30.3.2,Dm13,30,3,2,48,84,78,north
IN12-8-3.30.3.1,IN12-8-3,30,3,1,48,84,78,north
IN12-8-3.30.3.2,IN12-8-3,30,3,2,48,84,78,north
IN12-9-6.30.3.1,IN12-9-6,30,3,1,48,84,78,north
IN12-9-6.30.3.2,IN12-9-6,30,3,2,48,84,78,north
MP249.30.3.1,MP249,30,3,1,48,82.04,76.04,south
MP249.30.3.2,MP249,30,3,2,48,82.21,76.21,south
TN270.30.3.1,TN270,30,3,1,48,84,78,south
TN270.30.3.2,TN270,30,3,2,48,84,78,south
TN280.30.3.1,TN280,30,3,1,48,84,78,south
TN280.30.3.2,TN280,30,3,2,48,84,78,south
TN550.30.3.1,TN550,30,3,1,48,81.81,75.81,south
TN550.30.3.2,TN550,30,3,2,48,81.9,75.9,south
W12-6.30.3.1,W12-6,30,3,1,48,78.67,72.67,north
W12-6.30.3.2,W12-6,30,3,2,48,78.63,72.63,north
Dm13.10.1.1,Dm13,10,1,1,72,12.27,6.27,north
Dm13.10.1.2,Dm13,10,1,2,72,12.27,6.27,north
IN12-8-3.10.1.1,IN12-8-3,10,1,1,72,13.04,7.04,north
IN12-8-3.10.1.2,IN12-8-3,10,1,2,72,13.09,7.09,north
IN12-9-6.10.1.1,IN12-9-6,10,1,1,72,11.28,5.28,north
IN12-9-6.10.1.2,IN12-9-6,10,1,2,72,11.1,5.1,north
MP249.10.1.1,MP249,10,1,1,72,11.23,5.23,south
MP249.10.1.2,MP249,10,1,2,72,11.26,5.26,south
TN270.10.1.1,TN270,10,1,1,72,10.85,4.85,south
TN270.10.1.2,TN270,10,1,2,72,10.86,4.86,south
TN280.10.1.1,TN280,10,1,1,72,12.39,6.39,south
TN280.10.1.2,TN280,10,1,2,72,12.39,6.39,south
TN550.10.1.1,TN550,10,1,1,72,11.47,5.47,south
TN550.10.1.2,TN550,10,1,2,72,11.33,5.33,south
W12-6.10.1.1,W12-6,10,1,1,72,10.65,4.65,north
W12-6.10.1.2,W12-6,10,1,2,72,10.62,4.62,north
Dm13.10.2.1,Dm13,10,2,1,72,11.45,5.45,north
Dm13.10.2.2,Dm13,10,2,2,72,11.31,5.31,north
IN12-8-3.10.2.1,IN12-8-3,10,2,1,72,11.17,5.17,north
IN12-8-3.10.2.2,IN12-8-3,10,2,2,72,11.19,5.19,north
