code	isolate	temp_C	replicate	axis	dpi	col_diam_mm	
TN279.15.2.2	TN279	15	2	2	1	8.83	
TN280.15.2.1	TN280	15	2	1	1	10.62	
TN280.15.2.2	TN280	15	2	2	1	10.98	
TN380.15.2.1	TN380	15	2	1	1	8.96	
TN380.15.2.2	TN380	15	2	2	1	8.96	
TN4.15.2.1	TN4	15	2	1	1	7.02	
TN4.15.2.2	TN4	15	2	2	1	7.02	
TN501.15.2.1	TN501	15	2	1	1	10.01	
TN501.15.2.2	TN501	15	2	2	1	10.01	
TN550.15.2.1	TN550	15	2	1	1	9.34	
TN550.15.2.2	TN550	15	2	2	1	8.97	
W12-6.15.2.1	W12-6	15	2	1	1	9.05	
W12-6.15.2.2	W12-6	15	2	2	1	9.19	
W23.15.2.1	W23	15	2	1	1	8.36	
W23.15.2.2	W23	15	2	2	1	8.64	
W3-5.15.2.1	W3-5	15	2	1	1	8.26	
W3-5.15.2.2	W3-5	15	2	2	1	8.21	
Dm13.20.1.1	Dm13	20	1	1	1	23.77	
Dm13.20.1.2	Dm13	20	1	2	1	24	
Et12.20.1.1	Et12	20	1	1	1	24.3	
Et12.20.1.2	Et12	20	1	2	1	24.3	
Et14.20.1.1	Et14	20	1	1	1	23.51	
Et14.20.1.2	Et14	20	1	2	1	22.96	
Et17.20.1.1	Et17	20	1	1	1	23.76	
Et17.20.1.2	Et17	20	1	2	1	23.59	
Et18.20.1.1	Et18	20	1	1	1	24.17	
Et18.20.1.2	Et18	20	1	2	1	24.29	
IN12-4.20.1.1	IN12-4	20	1	1	1	24.13	
IN12-4.20.1.2	IN12-4	20	1	2	1	22.92	
IN12-8-3.20.1.1	IN12-8-3	20	1	1	1	26.44	
IN12-8-3.20.1.2	IN12-8-3	20	1	2	1	25.5	
IN12-9-4.20.1.1	IN12-9-4	20	1	1	1	24.85	
IN12-9-4.20.1.2	IN12-9-4	20	1	2	1	23.4	
IN12-9-6.20.1.1	IN12-9-6	20	1	1	1	21.04	
IN12-9-6.20.1.2	IN12-9-6	20	1	2	1	21.46	
IN12-PO-3.20.1.1	IN12-PO-3	20	1	1	1	22.43	
IN12-PO-3.20.1.2	IN12-PO-3	20	1	2	1	20.92	
Md10.20.1.1	Md10	20	1	1	1	23.44	
Md10.20.1.2	Md10	20	1	2	1	23.78	
Md3.20.1.1	Md3	20	1	1	1	20.07	
Md3.20.1.2	Md3	20	1	2	1	21.01	
Md5.20.1.1	Md5	20	1	1	1	21.76	
Md5.20.1.2	Md5	20	1	2	1	21.88	
Md6.20.1.1	Md6	20	1	1	1	21.77	
Md6.20.1.2	Md6	20	1	2	1	22.82	
Md7.20.1.1	Md7	20	1	1	1	20.7	
Md7.20.1.2	Md7	20	1	2	1	20.48	
MP144.20.1.1	MP144	20	1	1	1	20.41	
MP144.20.1.2	MP144	20	1	2	1	20.41	
MP220.20.1.1	MP220	20	1	1	1	21.45	
MP220.20.1.2	MP220	20	1	2	1	21.25	
MP223.20.1.1	MP223	20	1	1	1	18.61	
MP223.20.1.2	MP223	20	1	2	1	18.61	
MP249.20.1.1	MP249	20	1	1	1	18.92	
MP249.20.1.2	MP249	20	1	2	1	18.95	
MP250.20.1.1	MP250	20	1	1	1	19.18	
MP250.20.1.2	MP250	20	1	2	1	18.88	
MP258.20.1.1	MP258	20	1	1	1	18.32	
MP258.20.1.2	MP258	20	1	2	1	18.54	
TN262.20.1.1	TN262	20	1	1	1	19.4	
TN262.20.1.2	TN262	20	1	2	1	19.25	
TN264.20.1.1	TN264	20	1	1	1	18.56	
TN264.20.1.2	TN264	20	1	2	1	20.61	
TN270.20.1.1	TN270	20	1	1	1	19.69	
TN270.20.1.2	TN270	20	1	2	1	20.51	
TN279.20.1.1	TN279	20	1	1	1	16.25	
TN279.20.1.2	TN279	20	1	2	1	16.25	
TN280.20.1.1	TN280	20	1	1	1	18.39	
TN280.20.1.2	TN280	20	1	2	1	18.6	
TN380.20.1.1	TN380	20	1	1	1	12.59	
TN380.20.1.2	TN380	20	1	2	1	14.84	
TN4.20.1.1	TN4	20	1	1	1	12.71	
TN4.20.1.2	TN4	20	1	2	1	12.26	
TN501.20.1.1	TN501	20	1	1	1	13.98	
TN501.20.1.2	TN501	20	1	2	1	14.32	
TN550.20.1.1	TN550	20	1	1	1	15.47	
TN550.20.1.2	TN550	20	1	2	1	15.61	
W12-6.20.1.1	W12-6	20	1	1	1	14.97	
W12-6.20.1.2	W12-6	20	1	2	1	15.29	
W23.20.1.1	W23	20	1	1	1	16	
W23.20.1.2	W23	20	1	2	1	15.96	
W3-5.20.1.1	W3-5	20	1	1	1	12.43	
W3-5.20.1.2	W3-5	20	1	2	1	13.09	
Dm13.20.2.1	Dm13	20	2	1	1	22.74	
Dm13.20.2.2	Dm13	20	2	2	1	23.85	
Et12.20.2.1	Et12	20	2	1	1	25.39	
Et12.20.2.2	Et12	20	2	2	1	24.72	
Et14.20.2.1	Et14	20	2	1	1	22.78	
Et14.20.2.2	Et14	20	2	2	1	23.54	
Et17.20.2.1	Et17	20	2	1	1	24.06	
Et17.20.2.2	Et17	20	2	2	1	23.8	
Et18.20.2.1	Et18	20	2	1	1	23.8	
Et18.20.2.2	Et18	20	2	2	1	23.74	
IN12-4.20.2.1	IN12-4	20	2	1	1	24.79	
IN12-4.20.2.2	IN12-4	20	2	2	1	24.66	
IN12-8-3.20.2.1	IN12-8-3	20	2	1	1	25.92	
IN12-8-3.20.2.2	IN12-8-3	20	2	2	1	26.16	
IN12-9-4.20.2.1	IN12-9-4	20	2	1	1	26.36	
IN12-9-4.20.2.2	IN12-9-4	20	2	2	1	25.12	
IN12-9-6.20.2.1	IN12-9-6	20	2	1	1	21.59	
IN12-9-6.20.2.2	IN12-9-6	20	2	2	1	21.52	
IN12-PO-3.20.2.1	IN12-PO-3	20	2	1	1	22.25	
IN12-PO-3.20.2.2	IN12-PO-3	20	2	2	1	22.25	
Md10.20.2.1	Md10	20	2	1	1	23.31	
Md10.20.2.2	Md10	20	2	2	1	23.31	
Md3.20.2.1	Md3	20	2	1	1	20.74	
Md3.20.2.2	Md3	20	2	2	1	21.34	
Md5.20.2.1	Md5	20	2	1	1	23.04	
Md5.20.2.2	Md5	20	2	2	1	22.1	
Md6.20.2.1	Md6	20	2	1	1	21.47	
Md6.20.2.2	Md6	20	2	2	1	22.33	
Md7.20.2.1	Md7	20	2	1	1	22.63	
Md7.20.2.2	Md7	20	2	2	1	21.76	
MP144.20.2.1	MP144	20	2	1	1	19.87	
MP144.20.2.2	MP144	20	2	2	1	19.75	
MP220.20.2.1	MP220	20	2	1	1	21.21	
MP220.20.2.2	MP220	20	2	2	1	21.21	
MP223.20.2.1	MP223	20	2	1	1	19.36	
