code	isolate	temp_C	replicate	axis	dpi	col_diam_mm_corr
TN4.15.2.1	TN4	15	2	1	1	1.02
TN4.15.2.2	TN4	15	2	2	1	1.02
TN501.15.2.1	TN501	15	2	1	1	4.01
TN501.15.2.2	TN501	15	2	2	1	4.01
TN550.15.2.1	TN550	15	2	1	1	3.34
TN550.15.2.2	TN550	15	2	2	1	2.97
W12-6.15.2.1	W12-6	15	2	1	1	3.05
W12-6.15.2.2	W12-6	15	2	2	1	3.19
W23.15.2.1	W23	15	2	1	1	2.36
W23.15.2.2	W23	15	2	2	1	2.64
W3-5.15.2.1	W3-5	15	2	1	1	2.26
W3-5.15.2.2	W3-5	15	2	2	1	2.21
Dm13.20.1.1	Dm13	20	1	1	1	17.77
Dm13.20.1.2	Dm13	20	1	2	1	18
Et12.20.1.1	Et12	20	1	1	1	18.3
Et12.20.1.2	Et12	20	1	2	1	18.3
Et14.20.1.1	Et14	20	1	1	1	17.51
Et14.20.1.2	Et14	20	1	2	1	16.96
Et17.20.1.1	Et17	20	1	1	1	17.76
Et17.20.1.2	Et17	20	1	2	1	17.59
Et18.20.1.1	Et18	20	1	1	1	18.17
Et18.20.1.2	Et18	20	1	2	1	18.29
IN12-4.20.1.1	IN12-4	20	1	1	1	18.13
IN12-4.20.1.2	IN12-4	20	1	2	1	16.92
IN12-8-3.20.1.1	IN12-8-3	20	1	1	1	20.44
IN12-8-3.20.1.2	IN12-8-3	20	1	2	1	19.5
IN12-9-4.20.1.1	IN12-9-4	20	1	1	1	18.85
IN12-9-4.20.1.2	IN12-9-4	20	1	2	1	17.4
IN12-9-6.20.1.1	IN12-9-6	20	1	1	1	15.04
IN12-9-6.20.1.2	IN12-9-6	20	1	2	1	15.46
IN12-PO-3.20.1.1	IN12-PO-3	20	1	1	1	16.43
IN12-PO-3.20.1.2	IN12-PO-3	20	1	2	1	14.92
Md10.20.1.1	Md10	20	1	1	1	17.44
Md10.20.1.2	Md10	20	1	2	1	17.78
Md3.20.1.1	Md3	20	1	1	1	14.07
Md3.20.1.2	Md3	20	1	2	1	15.01
Md5.20.1.1	Md5	20	1	1	1	15.76
Md5.20.1.2	Md5	20	1	2	1	15.88
Md6.20.1.1	Md6	20	1	1	1	15.77
Md6.20.1.2	Md6	20	1	2	1	16.82
Md7.20.1.1	Md7	20	1	1	1	14.7
Md7.20.1.2	Md7	20	1	2	1	14.48
MP144.20.1.1	MP144	20	1	1	1	14.41
