code,isolate,temp_C,replicate,axis,hpi,col_diam_mm
IN12-8-3.10.2.1,IN12-8-3,10,2,1,48,8.04
IN12-8-3.10.2.2,IN12-8-3,10,2,2,48,7.82
IN12-9-6.10.2.1,IN12-9-6,10,2,1,48,7.04
IN12-9-6.10.2.2,IN12-9-6,10,2,2,48,7.33
MP249.10.2.1,MP249,10,2,1,48,6.79
MP249.10.2.2,MP249,10,2,2,48,7.22
TN270.10.2.1,TN270,10,2,1,48,7.16
TN270.10.2.2,TN270,10,2,2,48,7.17
TN280.10.2.1,TN280,10,2,1,48,8.2
TN280.10.2.2,TN280,10,2,2,48,7.64
TN550.10.2.1,TN550,10,2,1,48,7.63
TN550.10.2.2,TN550,10,2,2,48,8.07
W12-6.10.2.1,W12-6,10,2,1,48,6.82
W12-6.10.2.2,W12-6,10,2,2,48,6.79
Dm13.10.3.1,Dm13,10,3,1,48,6.2
Dm13.10.3.2,Dm13,10,3,2,48,6.2
IN12-8-3.10.3.1,IN12-8-3,10,3,1,48,7.27
IN12-8-3.10.3.2,IN12-8-3,10,3,2,48,7.25
IN12-9-6.10.3.1,IN12-9-6,10,3,1,48,7.49
IN12-9-6.10.3.2,IN12-9-6,10,3,2,48,7.44
MP249.10.3.1,MP249,10,3,1,48,7.73
MP249.10.3.2,MP249,10,3,2,48,7.64
TN270.10.3.1,TN270,10,3,1,48,6.86
TN270.10.3.2,TN270,10,3,2,48,6.86
TN280.10.3.1,TN280,10,3,1,48,7.38
TN280.10.3.2,TN280,10,3,2,48,7.29
TN550.10.3.1,TN550,10,3,1,48,7.78
TN550.10.3.2,TN550,10,3,2,48,7.9
W12-6.10.3.1,W12-6,10,3,1,48,6.06
W12-6.10.3.2,W12-6,10,3,2,48,6.06
Dm13.30.1.1,Dm13,30,1,1,48,84
Dm13.30.1.2,Dm13,30,1,2,48,84
IN12-8-3.30.1.1,IN12-8-3,30,1,1,48,84
IN12-8-3.30.1.2,IN12-8-3,30,1,2,48,84
IN12-9-6.30.1.1,IN12-9-6,30,1,1,48,83.78
IN12-9-6.30.1.2,IN12-9-6,30,1,2,48,83.73
