code,isolate,temp_C,replicate,axis,hpi,col_diam_mm
MP249.10.2.2,MP249,10,2,2,240,28.79
TN270.10.2.1,TN270,10,2,1,240,24.78
TN270.10.2.2,TN270,10,2,2,240,23.6
TN280.10.2.1,TN280,10,2,1,240,26.08
TN280.10.2.2,TN280,10,2,2,240,24.8
TN550.10.2.1,TN550,10,2,1,240,29.21
TN550.10.2.2,TN550,10,2,2,240,30.85
W12-6.10.2.1,W12-6,10,2,1,240,34.04
W12-6.10.2.2,W12-6,10,2,2,240,34.15
Dm13.10.3.1,Dm13,10,3,1,240,27.03
Dm13.10.3.2,Dm13,10,3,2,240,26.5
IN12-8-3.10.3.1,IN12-8-3,10,3,1,240,29.67
IN12-8-3.10.3.2,IN12-8-3,10,3,2,240,29.38
IN12-9-6.10.3.1,IN12-9-6,10,3,1,240,25.84
IN12-9-6.10.3.2,IN12-9-6,10,3,2,240,25.84
MP249.10.3.1,MP249,10,3,1,240,24.78
MP249.10.3.2,MP249,10,3,2,240,25.5
TN270.10.3.1,TN270,10,3,1,240,22.34
TN270.10.3.2,TN270,10,3,2,240,22.15
TN280.10.3.1,TN280,10,3,1,240,22.18
TN280.10.3.2,TN280,10,3,2,240,22.22
TN550.10.3.1,TN550,10,3,1,240,27.96
TN550.10.3.2,TN550,10,3,2,240,28.13
W12-6.10.3.1,W12-6,10,3,1,240,31.07
W12-6.10.3.2,W12-6,10,3,2,240,31.07
Dm13.30.1.1,Dm13,30,1,1,240,84
Dm13.30.1.2,Dm13,30,1,2,240,84
IN12-8-3.30.1.1,IN12-8-3,30,1,1,240,84
IN12-8-3.30.1.2,IN12-8-3,30,1,2,240,84
IN12-9-6.30.1.1,IN12-9-6,30,1,1,240,84
IN12-9-6.30.1.2,IN12-9-6,30,1,2,240,84
MP249.30.1.1,MP249,30,1,1,240,84
MP249.30.1.2,MP249,30,1,2,240,84
TN270.30.1.1,TN270,30,1,1,240,84
TN270.30.1.2,TN270,30,1,2,240,84
TN280.30.1.1,TN280,30,1,1,240,84
TN280.30.1.2,TN280,30,1,2,240,84
TN550.30.1.1,TN550,30,1,1,240,84
TN550.30.1.2,TN550,30,1,2,240,84
W12-6.30.1.1,W12-6,30,1,1,240,84
W12-6.30.1.2,W12-6,30,1,2,240,84
Dm13.30.2.1,Dm13,30,2,1,240,84
Dm13.30.2.2,Dm13,30,2,2,240,84
IN12-8-3.30.2.1,IN12-8-3,30,2,1,240,84
IN12-8-3.30.2.2,IN12-8-3,30,2,2,240,84
IN12-9-6.30.2.1,IN12-9-6,30,2,1,240,84
IN12-9-6.30.2.2,IN12-9-6,30,2,2,240,84
MP249.30.2.1,MP249,30,2,1,240,84
MP249.30.2.2,MP249,30,2,2,240,84
TN270.30.2.1,TN270,30,2,1,240,84
TN270.30.2.2,TN270,30,2,2,240,84
TN280.30.2.1,TN280,30,2,1,240,84
TN280.30.2.2,TN280,30,2,2,240,84
TN550.30.2.1,TN550,30,2,1,240,84
TN550.30.2.2,TN550,30,2,2,240,84
W12-6.30.2.1,W12-6,30,2,1,240,84
W12-6.30.2.2,W12-6,30,2,2,240,84
Dm13.30.3.2,Dm13,30,3,2,240,84
IN12-8-3.30.3.1,IN12-8-3,30,3,1,240,84
IN12-8-3.30.3.2,IN12-8-3,30,3,2,240,84
IN12-9-6.30.3.1,IN12-9-6,30,3,1,240,84
IN12-9-6.30.3.2,IN12-9-6,30,3,2,240,84
MP249.30.3.1,MP249,30,3,1,240,84
MP249.30.3.2,MP249,30,3,2,240,84
TN270.30.3.1,TN270,30,3,1,240,84
TN270.30.3.2,TN270,30,3,2,240,84
TN280.30.3.1,TN280,30,3,1,240,84
TN280.30.3.2,TN280,30,3,2,240,84
TN550.30.3.1,TN550,30,3,1,240,84
TN550.30.3.2,TN550,30,3,2,240,84
W12-6.30.3.1,W12-6,30,3,1,240,84
W12-6.30.3.2,W12-6,30,3,2,240,84
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
